Region;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Romania;4.800;5.060;5.530;5.690;6.320;6.650;7.230;7.870;8.740;8.330;8.050;8.460;8.660;8.710;9.100;9.430;9.760;10.620;11.330;11.830;11.460;12.190;12.730;13.030;13.130
Slovenia;15.730;16.160;16.660;17.180;17.950;18.610;19.640;20.930;21.600;19.770;19.920;20.010;19.390;19.210;19.720;20.170;20.770;21.830;22.720;23.330;22.230;24.040;24.660;25.050;25.380
Slovakia;8.730;9.020;9.420;9.880;10.410;11.070;12.050;13.340;14.030;13.230;14.100;14.540;14.750;14.830;15.220;16.000;16.280;16.730;17.380;17.760;17.270;18.320;18.350;18.750;19.130
Finland;36.230;37.100;37.630;38.300;39.720;40.680;42.150;44.210;44.350;40.570;41.660;42.460;41.620;41.020;40.650;40.700;41.640;42.910;43.360;43.910;42.740;43.800;44.010;43.430;43.040
Sweden;37.180;37.580;38.310;38.890;40.360;41.330;42.990;44.080;43.330;41.130;43.130;44.150;43.650;43.770;44.330;45.790;46.220;46.420;46.700;47.410;46.180;48.300;48.390;47.960;48.300
Iceland;42.700;43.750;43.610;44.290;47.240;49.780;51.380;54.470;54.380;49.680;49.170;50.150;50.340;51.630;52.150;53.770;56.680;57.600;59.030;58.740;54.190;56.150;59.620;61.040;59.520
Norway;54.080;54.920;55.380;55.570;57.460;58.610;59.560;60.670;60.210;58.300;58.030;57.920;58.710;58.590;59.130;59.610;59.780;60.780;60.880;61.150;60.020;62.030;63.470;62.790;63.500
Switzerland;65.020;65.720;65.210;64.720;66.020;67.440;69.750;71.840;72.990;70.520;72.250;72.900;72.960;73.420;74.230;74.530;75.260;75.580;77.180;77.510;75.280;78.880;80.600;79.940;80.080
United Kingdom;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
Montenegro;:;:;:;:;:;:;5.620;5.990;6.420;6.030;6.190;6.380;6.200;6.410;6.520;6.740;6.940;7.260;7.630;7.950;6.740;7.640;8.160;8.460;:
North Macedonia;:;:;:;3.370;3.540;3.720;3.940;4.210;4.470;4.480;4.660;4.800;4.790;4.950;5.140;5.360;5.530;5.610;5.800;6.070;5.840;6.170;6.360;6.510;:
Albania;2.120;2.330;2.440;2.580;2.730;2.880;3.080;3.300;3.550;3.680;3.800;3.910;3.950;4.030;4.130;4.230;4.400;4.550;4.730;4.850;4.710;5.190;5.500;:;:
Serbia;3.670;3.930;4.190;4.390;4.700;4.990;5.200;5.630;5.950;5.790;5.900;5.950;5.950;6.010;5.930;6.040;6.250;6.430;6.770;7.130;7.110;7.740;8.150;8.520;8.900
Türkiye;3.970;3.690;3.880;4.060;4.400;4.740;5.010;5.190;5.170;4.850;5.180;5.680;5.880;6.290;6.510;6.820;6.950;7.380;7.500;7.450;7.520;8.300;8.670;9.080;:
