Region,education_level,urbanisation_degree,age_class,commuting_time,value,percent
Lithuania,All ISCED 2011 levels,Total,15-74,30-44,1712.0,25.148733015056923
Lithuania,All ISCED 2011 levels,Total,15-74,45-59,94.5,1.3881748071979434
Lithuania,All ISCED 2011 levels,Total,15-74,60+,285.0,4.186558942343004
Luxembourg,All ISCED 2011 levels,Total,15-74,0,56.5,5.661322645290581
Luxembourg,All ISCED 2011 levels,Total,15-74,1-9,81.0,8.11623246492986
Luxembourg,All ISCED 2011 levels,Total,15-74,10-14,50.0,5.01002004008016
Luxembourg,All ISCED 2011 levels,Total,15-74,15-19,115.0,11.52304609218437
Luxembourg,All ISCED 2011 levels,Total,15-74,20-29,222.5,22.294589178356713
Luxembourg,All ISCED 2011 levels,Total,15-74,30-44,275.5,27.605210420841683
Luxembourg,All ISCED 2011 levels,Total,15-74,45-59,105.0,10.521042084168336
Luxembourg,All ISCED 2011 levels,Total,15-74,60+,92.5,9.268537074148297
Malta,All ISCED 2011 levels,Total,15-74,0,52.5,5.079825834542816
Malta,All ISCED 2011 levels,Total,15-74,1-9,75.5,7.305273343009192
Malta,All ISCED 2011 levels,Total,15-74,10-14,167.5,16.207063376874697
Malta,All ISCED 2011 levels,Total,15-74,15-19,196.0,18.96468311562651
Malta,All ISCED 2011 levels,Total,15-74,20-29,102.0,9.869375907111756
Malta,All ISCED 2011 levels,Total,15-74,30-44,284.0,27.479438800193517
Malta,All ISCED 2011 levels,Total,15-74,45-59,107.0,10.353168843734881
Malta,All ISCED 2011 levels,Total,15-74,60+,49.0,4.7411707789066275
Netherlands,All ISCED 2011 levels,Total,15-74,0,3103.5,8.321825519192352
Netherlands,All ISCED 2011 levels,Total,15-74,1-9,3505.5,9.399761352514513
Netherlands,All ISCED 2011 levels,Total,15-74,10-14,5608.5,15.03881373429686
Netherlands,All ISCED 2011 levels,Total,15-74,15-19,5626.0,15.085738801667851
Netherlands,All ISCED 2011 levels,Total,15-74,20-29,7856.0,21.065333100942524
Netherlands,All ISCED 2011 levels,Total,15-74,30-44,3789.0,10.159947443924544
Netherlands,All ISCED 2011 levels,Total,15-74,45-59,3486.0,9.347473420301124
Netherlands,All ISCED 2011 levels,Total,15-74,60+,4319.0,11.58110662716023
Norway,All ISCED 2011 levels,Total,15-74,0,771.0,6.055132333307155
Norway,All ISCED 2011 levels,Total,15-74,1-9,2405.5,18.891855807743656
Norway,All ISCED 2011 levels,Total,15-74,10-14,1187.0,9.322233566323726
Norway,All ISCED 2011 levels,Total,15-74,15-19,1800.5,14.140422524149846
Norway,All ISCED 2011 levels,Total,15-74,20-29,2292.5,18.004398020890598
Norway,All ISCED 2011 levels,Total,15-74,30-44,2334.5,18.33424958768554
Norway,All ISCED 2011 levels,Total,15-74,45-59,686.5,5.391502395350663
Norway,All ISCED 2011 levels,Total,15-74,60+,1255.5,9.86020576454881
Poland,All ISCED 2011 levels,Total,15-74,0,2132.5,3.317646143673914
Poland,All ISCED 2011 levels,Total,15-74,1-9,8136.0,12.657617362218506
Poland,All ISCED 2011 levels,Total,15-74,10-14,6035.5,9.38975535762903
Poland,All ISCED 2011 levels,Total,15-74,15-19,6685.0,10.400217805608495
Poland,All ISCED 2011 levels,Total,15-74,20-29,15524.0,24.15153047333826
Poland,All ISCED 2011 levels,Total,15-74,30-44,19230.0,29.917156081054802
Poland,All ISCED 2011 levels,Total,15-74,45-59,3069.0,4.774610089066936
Poland,All ISCED 2011 levels,Total,15-74,60+,3465.5,5.391466687410058
Portugal,All ISCED 2011 levels,Total,15-74,0,886.5,4.035966310038698
Portugal,All ISCED 2011 levels,Total,15-74,1-9,4819.0,21.939449123605737
Portugal,All ISCED 2011 levels,Total,15-74,10-14,4295.0,19.553835647621217
Portugal,All ISCED 2011 levels,Total,15-74,15-19,3424.0,15.588436148417937
Portugal,All ISCED 2011 levels,Total,15-74,20-29,3383.0,15.401775552014568
Portugal,All ISCED 2011 levels,Total,15-74,30-44,3442.5,15.672661051673117
Portugal,All ISCED 2011 levels,Total,15-74,45-59,907.0,4.129296608240383
Portugal,All ISCED 2011 levels,Total,15-74,60+,808.0,3.678579558388345
Romania,All ISCED 2011 levels,Total,15-74,0,1099.5,3.2891095921145133
Romania,All ISCED 2011 levels,Total,15-74,1-9,3357.5,10.043824879967692
Romania,All ISCED 2011 levels,Total,15-74,10-14,3743.0,11.197032472291607
Romania,All ISCED 2011 levels,Total,15-74,15-19,4989.0,14.924390864083042
Romania,All ISCED 2011 levels,Total,15-74,20-29,8528.0,25.511165622148766
Romania,All ISCED 2011 levels,Total,15-74,30-44,6588.5,19.709230147927666
Romania,All ISCED 2011 levels,Total,15-74,45-59,2977.0,8.905574584561078
Romania,All ISCED 2011 levels,Total,15-74,60+,2146.0,6.419671836905635
Slovakia,All ISCED 2011 levels,Total,15-74,0,482.5,3.892855702125943
Slovakia,All ISCED 2011 levels,Total,15-74,1-9,914.5,7.37827262092057
Slovakia,All ISCED 2011 levels,Total,15-74,10-14,1952.0,15.748920892331276
Slovakia,All ISCED 2011 levels,Total,15-74,15-19,2210.0,17.830489329944733
Slovakia,All ISCED 2011 levels,Total,15-74,20-29,3451.5,27.84702892411957
Slovakia,All ISCED 2011 levels,Total,15-74,30-44,2548.0,20.55750534511275
Slovakia,All ISCED 2011 levels,Total,15-74,45-59,428.5,3.4571785872766148
Slovakia,All ISCED 2011 levels,Total,15-74,60+,407.5,3.2877485981685424
Slovenia,All ISCED 2011 levels,Total,15-74,0,234.0,5.488448457839803
Slovenia,All ISCED 2011 levels,Total,15-74,1-9,630.5,14.788319455846135
Slovenia,All ISCED 2011 levels,Total,15-74,10-14,385.5,9.041867010671982
Slovenia,All ISCED 2011 levels,Total,15-74,15-19,751.5,17.62636331652398
Slovenia,All ISCED 2011 levels,Total,15-74,20-29,843.0,19.77248739298698
Slovenia,All ISCED 2011 levels,Total,15-74,30-44,904.5,21.21496423126539
Slovenia,All ISCED 2011 levels,Total,15-74,45-59,222.0,5.206989562565967
Slovenia,All ISCED 2011 levels,Total,15-74,60+,292.5,6.860560572299754
Spain,All ISCED 2011 levels,Total,15-74,0,2421.0,3.1807342884732868
Spain,All ISCED 2011 levels,Total,15-74,1-9,14429.5,18.957623054739898
Spain,All ISCED 2011 levels,Total,15-74,10-14,15939.5,20.94147632842625
Spain,All ISCED 2011 levels,Total,15-74,15-19,13351.5,17.541335750743944
Spain,All ISCED 2011 levels,Total,15-74,20-29,9594.0,12.604694243540981
Spain,All ISCED 2011 levels,Total,15-74,30-44,9028.0,11.861077718437354
Spain,All ISCED 2011 levels,Total,15-74,45-59,2217.0,2.9127170250083756
Spain,All ISCED 2011 levels,Total,15-74,60+,9134.0,12.000341590629906
Sweden,All ISCED 2011 levels,Total,15-74,0,690.0,3.3109404990403073
Sweden,All ISCED 2011 levels,Total,15-74,1-9,3598.5,17.267274472168907
Sweden,All ISCED 2011 levels,Total,15-74,10-14,3410.0,16.362763915547024
Sweden,All ISCED 2011 levels,Total,15-74,15-19,3664.0,17.581573896353166
Sweden,All ISCED 2011 levels,Total,15-74,20-29,2736.5,13.130998080614203
Sweden,All ISCED 2011 levels,Total,15-74,30-44,2575.0,12.356046065259116
Sweden,All ISCED 2011 levels,Total,15-74,45-59,1883.5,9.037907869481765
Sweden,All ISCED 2011 levels,Total,15-74,60+,2282.5,10.952495201535509
Switzerland,All ISCED 2011 levels,Total,15-74,0,1031.5,4.866713847605567
Switzerland,All ISCED 2011 levels,Total,15-74,1-9,3860.0,18.211842415664073
Switzerland,All ISCED 2011 levels,Total,15-74,10-14,3005.0,14.177872139655578
Switzerland,All ISCED 2011 levels,Total,15-74,15-19,2967.0,13.99858457183298
Switzerland,All ISCED 2011 levels,Total,15-74,20-29,3831.5,18.07737673979712
Switzerland,All ISCED 2011 levels,Total,15-74,30-44,2610.5,12.31658410002359
Switzerland,All ISCED 2011 levels,Total,15-74,45-59,1660.0,7.8320358575135645
Switzerland,All ISCED 2011 levels,Total,15-74,60+,2229.5,10.518990327907526
Türkiye,All ISCED 2011 levels,Total,15-74,0,3148.5,3.302720535400528
Türkiye,All ISCED 2011 levels,Total,15-74,1-9,20995.0,22.023381813795165
Türkiye,All ISCED 2011 levels,Total,15-74,10-14,8166.5,8.566513340431447
Türkiye,All ISCED 2011 levels,Total,15-74,15-19,16731.0,17.55052160641138
Türkiye,All ISCED 2011 levels,Total,15-74,20-29,25926.5,27.196437656363912
Türkiye,All ISCED 2011 levels,Total,15-74,30-44,3081.5,3.2324387263257823
Türkiye,All ISCED 2011 levels,Total,15-74,45-59,6686.0,7.013495156324576
Türkiye,All ISCED 2011 levels,Total,15-74,60+,10595.5,11.11449116494721
United Kingdom,All ISCED 2011 levels,Total,15-74,0,12146.5,8.567780799114054
United Kingdom,All ISCED 2011 levels,Total,15-74,1-9,18105.0,12.770729952493308
United Kingdom,All ISCED 2011 levels,Total,15-74,10-14,20243.5,14.279164418298718
United Kingdom,All ISCED 2011 levels,Total,15-74,15-19,17379.0,12.258631087786865
United Kingdom,All ISCED 2011 levels,Total,15-74,20-29,27835.0,19.633983332098936
United Kingdom,All ISCED 2011 levels,Total,15-74,30-44,18446.0,13.011261237431182
United Kingdom,All ISCED 2011 levels,Total,15-74,45-59,6962.0,4.910788286620183
United Kingdom,All ISCED 2011 levels,Total,15-74,60+,20652.5,14.567660886156755
